brain	outcome	model	r_obs	n	null_mean	null_sd	p_spin	source
pls2_proj	totprob	late	-0.01588	8188	0.00012086	0.015038	0.30969	7.0 p/mh_p_cbcl.tsv
pls2_proj	totprob	change	-0.021218	8187	0.00039242	0.018432	0.29071	7.0 p/mh_p_cbcl.tsv
pls2_proj	totprob	trajectory	-0.0090324	8553	0.00021344	0.016287	0.62038	7.0 p/mh_p_cbcl.tsv
pls2_proj	internal	late	-0.01888	8190	0.00015705	0.015746	0.24276	7.0 p/mh_p_cbcl.tsv
pls2_proj	internal	change	-0.023601	8189	0.00020219	0.016566	0.15684	7.0 p/mh_p_cbcl.tsv
pls2_proj	internal	trajectory	-0.0081152	8554	7.6095e-05	0.012729	0.54046	7.0 p/mh_p_cbcl.tsv
pls2_proj	external	late	-0.0063159	8186	-0.00038623	0.011367	0.59241	7.0 p/mh_p_cbcl.tsv
pls2_proj	external	change	-0.0097978	8185	-0.00024034	0.011679	0.42657	7.0 p/mh_p_cbcl.tsv
pls2_proj	external	trajectory	-0.00034988	8554	-5.6082e-05	0.011634	0.98002	7.0 p/mh_p_cbcl.tsv
pls2_proj	pfactor	late	-0.015258	8163	-0.00020264	0.013515	0.27772	7.0 p/mh_p_cbcl.tsv
pls2_proj	pfactor	change	-0.018221	8162	0.00021044	0.015418	0.26673	7.0 p/mh_p_cbcl.tsv
pls2_proj	pfactor	trajectory	-0.0065862	8549	0.00024599	0.013362	0.64336	7.0 p/mh_p_cbcl.tsv
pls2_proj	depress	late	-0.012931	8182	-0.00032409	0.014554	0.38661	7.0 p/mh_p_cbcl.tsv
pls2_proj	depress	change	-0.013267	8181	-0.00030473	0.013822	0.34266	7.0 p/mh_p_cbcl.tsv
pls2_proj	depress	trajectory	-0.0063372	8552	-0.00023334	0.011252	0.58342	7.0 p/mh_p_cbcl.tsv
pls2_proj	thought	late	-0.011549	8184	3.9993e-05	0.013423	0.41359	7.0 p/mh_p_cbcl.tsv
pls2_proj	thought	change	-0.0088766	8183	0.00044438	0.014243	0.57243	7.0 p/mh_p_cbcl.tsv
pls2_proj	thought	trajectory	-0.0019501	8553	0.0004029	0.012531	0.87712	7.0 p/mh_p_cbcl.tsv
pls2_proj	withdep	late	-0.0057571	8190	-0.00026392	0.011683	0.64535	7.0 p/mh_p_cbcl.tsv
pls2_proj	withdep	change	-0.0079851	8189	-4.5274e-05	0.010601	0.47153	7.0 p/mh_p_cbcl.tsv
pls2_proj	withdep	trajectory	0.0015492	8552	-5.9553e-05	0.0083159	0.85315	7.0 p/mh_p_cbcl.tsv
pls2_proj	anxdisord	late	-0.018784	8186	-5.0476e-05	0.012885	0.14286	7.0 p/mh_p_cbcl.tsv
pls2_proj	anxdisord	change	-0.019126	8185	0.00024473	0.014065	0.18182	7.0 p/mh_p_cbcl.tsv
pls2_proj	anxdisord	trajectory	-0.0064776	8553	0.00025791	0.012007	0.61139	7.0 p/mh_p_cbcl.tsv
pls2_proj	adhd	late	-0.00065985	8192	-0.00023908	0.011537	0.95405	7.0 p/mh_p_cbcl.tsv
pls2_proj	adhd	change	-0.0090658	8191	0.00028908	0.015432	0.60739	7.0 p/mh_p_cbcl.tsv
pls2_proj	adhd	trajectory	-0.0139	8554	0.00032333	0.018042	0.47752	7.0 p/mh_p_cbcl.tsv
c3_proj	totprob	late	-0.0088688	8188	0.00080583	0.014694	0.55345	7.0 p/mh_p_cbcl.tsv
c3_proj	totprob	change	-0.009129	8187	0.0010969	0.017803	0.63337	7.0 p/mh_p_cbcl.tsv
c3_proj	totprob	trajectory	-0.0039967	8553	0.00089235	0.01518	0.78521	7.0 p/mh_p_cbcl.tsv
c3_proj	internal	late	-0.0071962	8190	0.00069482	0.014912	0.64535	7.0 p/mh_p_cbcl.tsv
c3_proj	internal	change	-0.0058685	8189	0.00039572	0.015468	0.72328	7.0 p/mh_p_cbcl.tsv
c3_proj	internal	trajectory	-0.0012737	8554	2.7799e-05	0.011505	0.92108	7.0 p/mh_p_cbcl.tsv
c3_proj	external	late	0.0037901	8186	-0.00011804	0.011337	0.73127	7.0 p/mh_p_cbcl.tsv
c3_proj	external	change	-0.0038966	8185	0.00024246	0.011063	0.73127	7.0 p/mh_p_cbcl.tsv
c3_proj	external	trajectory	0.0030996	8554	0.00049533	0.010912	0.78122	7.0 p/mh_p_cbcl.tsv
c3_proj	pfactor	late	-0.0047998	8163	0.0002002	0.013164	0.72428	7.0 p/mh_p_cbcl.tsv
c3_proj	pfactor	change	-0.0037299	8162	0.0005637	0.014628	0.81818	7.0 p/mh_p_cbcl.tsv
c3_proj	pfactor	trajectory	0.0028794	8549	0.00057513	0.012709	0.81918	7.0 p/mh_p_cbcl.tsv
c3_proj	depress	late	0.00084387	8182	0.00014729	0.014308	0.95904	7.0 p/mh_p_cbcl.tsv
c3_proj	depress	change	9.8021e-05	8181	6.984e-05	0.013226	0.99301	7.0 p/mh_p_cbcl.tsv
c3_proj	depress	trajectory	-0.00038924	8552	0.00015029	0.010312	0.97902	7.0 p/mh_p_cbcl.tsv
c3_proj	thought	late	0.0061886	8184	0.000281	0.01267	0.60539	7.0 p/mh_p_cbcl.tsv
