run	disorder	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	se_std
marg_ABCD_PLS2_HCP	SCZ	ABCD_PLS2_HCP	COVAR	6672	0.019234	0.048308	0.0065394	0.0032815	0.016424
marg_ABCD_PLS2_HCP	MDD	ABCD_PLS2_HCP	COVAR	6662	0.025938	0.065139	0.0062428	3.2991e-05	0.015678
marg_ABCD_PLS2_DK	SCZ	ABCD_PLS2_DK	COVAR	6672	0.015584	0.040083	0.0063504	0.014156	0.016334
marg_ABCD_PLS2_DK	MDD	ABCD_PLS2_DK	COVAR	6662	0.016904	0.043471	0.0060122	0.0049458	0.015461
marg_ABCD_dCT_HCP	SCZ	ABCD_dCT_HCP	COVAR	6672	0.023285	0.053386	0.0071134	0.0010683	0.016309
marg_ABCD_dCT_HCP	MDD	ABCD_dCT_HCP	COVAR	6662	0.031003	0.071057	0.0068387	5.9115e-06	0.015674
marg_ABCD_dCT_DK	SCZ	ABCD_dCT_DK	COVAR	6672	0.026934	0.055494	0.007876	0.00063087	0.016227
marg_ABCD_dCT_DK	MDD	ABCD_dCT_DK	COVAR	6662	0.023345	0.048079	0.0075857	0.0020965	0.015623
marg_ABCD_dCT_dT1T2_DK	SCZ	ABCD_dCT_dT1T2_DK	COVAR	6672	0.016117	0.043651	0.0060416	0.0076566	0.016363
marg_ABCD_dCT_dT1T2_DK	MDD	ABCD_dCT_dT1T2_DK	COVAR	6662	0.021163	0.057319	0.0057592	0.00024018	0.015599
marg_AHBA_C3	SCZ	AHBA_C3	COVAR	6672	0.23391	0.060491	0.063694	0.00024228	0.016472
marg_AHBA_C3	MDD	AHBA_C3	COVAR	6662	0.30889	0.079866	0.060538	3.4573e-07	0.015653
marg_AHBA_C1	SCZ	AHBA_C1	COVAR	6672	0.049918	0.029211	0.02758	0.070352	0.016139
marg_AHBA_C1	MDD	AHBA_C1	COVAR	6662	0.013684	0.0080071	0.026368	0.60382	0.015429
marg_NSPN_PLS2	SCZ	NSPN_PLS2	COVAR	6672	0.013351	0.046719	0.0046668	0.004238	0.01633
marg_NSPN_PLS2	MDD	NSPN_PLS2	COVAR	6662	0.007332	0.025662	0.004399	0.095617	0.015397
